,Total Return,CAGR,Ann. Vol,Sharpe,Sortino,Max DD,DD Peak,DD Trough,Calmar,VaR 95% (d),CVaR 95% (d),Hit Rate,Beta vs SPY,Corr vs TLT
REIT Portfolio,1.615027942684355,0.10127876829051718,0.2167075364144604,0.4473421457224351,0.4183847424057794,-0.4041764483486566,2020-02-18,2020-03-23,0.25058057861686833,-0.01964886828650063,-0.03145189347184831,0.5400238948626045,0.8210991569832111,0.05541033355891963
Benchmark (VNQ),0.6289743436400346,0.050188792779944924,0.20742131382248033,0.22874535541908522,0.21372556407631366,-0.42398174484306717,2020-02-21,2020-03-23,0.1183748908777236,-0.018777853895247998,-0.030546321690306442,0.5320589406610912,0.8309007504926812,0.04627556489972222
PLD,2.8487942646100413,0.14483332668301863,0.27021045139721794,0.5502442090243433,0.5300151482046248,-0.4329525687418774,2022-04-28,2025-04-08,0.33452469655946776,-0.02516873181643858,-0.03965622505760189,0.5332536837913182,0.9573190509345354,0.057271574218497594
EQIX,2.1864033461666286,0.1233380495131613,0.27198012535263727,0.47794119672104596,0.47764431632742915,-0.41767994126383623,2021-09-03,2022-10-14,0.2952932073777808,-0.026153606200651644,-0.03864215809247456,0.5292712066905615,0.8096136207240648,0.08704483074878684
AMT,0.8756105358721915,0.06515342200726515,0.26334919709885923,0.28290600284335227,0.2801360857872119,-0.4534420743731,2021-09-08,2023-10-04,0.14368631781102822,-0.026299743015052664,-0.03726744572429064,0.5236957387495021,0.6483183229158613,0.1105808832102278
AVB,0.4848742630610494,0.040472258826102836,0.2472229069306986,0.1904924438701798,0.18581093921464192,-0.4691103726709328,2020-02-18,2020-03-23,0.08627449142867907,-0.022707327872901896,-0.034998801451137616,0.5232974910394266,0.775262990350158,-0.007005831080524349
MAA,0.8706063689918255,0.06486787547223938,0.2416756932703779,0.2855892817268353,0.27436874269625805,-0.45399178972698795,2021-12-31,2023-10-30,0.14288336692442888,-0.0228213659084515,-0.03437835113970427,0.5225009956192752,0.7341366071684198,0.02611454821883966
O,0.5161354328608385,0.04265007882683314,0.2564775627309981,0.2041256535801071,0.18702430423086172,-0.4828202730842881,2020-02-21,2020-03-18,0.08833531068275487,-0.0218182368182932,-0.03641968527577895,0.5272799681401832,0.6950991836995326,0.08283743090010245
WELL,3.5174532483043732,0.1633867026956315,0.31953057246703553,0.561403965224083,0.5450090780024032,-0.6332840326987199,2019-09-04,2020-03-18,0.25799908770692387,-0.02562744537060043,-0.04454136435745547,0.5448028673835126,0.820683973271123,0.040065832744650545
EXR,1.3150195876684272,0.08789287334806906,0.2692554700269432,0.36190908074816786,0.3472109197779959,-0.5136487019152502,2021-12-31,2023-10-25,0.17111475804444062,-0.025056752086439427,-0.04019364632131468,0.5248904818797292,0.6525744094181483,0.09063637708847887
SPG,0.7330525366968446,0.056736646214749165,0.3711571866929198,0.27282173911312446,0.2713268626192667,-0.7700217199393835,2016-08-01,2020-04-02,0.07368187772575494,-0.029433639237597935,-0.05200095558696191,0.5221027479091995,1.1034330218743804,-0.05683139474896119
BXP,-0.22033420883794097,-0.024668826234391594,0.32125827528384715,0.010374232206990217,0.01028404498234756,-0.6359410670291423,2020-02-18,2023-03-23,-0.03879105708589367,-0.03195386966436081,-0.04632828347963508,0.5121465551573079,1.009271352368708,-0.025154276557256154
